2026-02-14 21:34:11,607 | INFO | root | Logging started. Log file: ./logs\stac_export_20260214_213411.log
2026-02-14 21:34:11,607 | INFO | __main__ | Starting STAC → DataCite export
2026-02-14 21:34:11,608 | INFO | __main__ | Fetching: https://api.eneslab.pilot.eosc-beyond.eu/
2026-02-14 21:34:13,205 | INFO | __main__ | AerChemMIP: 4 items
2026-02-14 21:34:13,700 | INFO | __main__ | shared_collection: 0 items
2026-02-14 21:34:23,976 | INFO | __main__ | CMIP_S3: 165 items
2026-02-14 21:34:24,836 | INFO | __main__ | HighResMIP: 117 items
2026-02-14 21:34:31,663 | INFO | __main__ | ScenarioMIP_S3: 336 items
2026-02-14 21:35:48,590 | INFO | __main__ | CMIP: 1797 items
2026-02-14 21:38:25,031 | INFO | __main__ | ScenarioMIP: 4935 items
2026-02-14 21:38:25,032 | INFO | __main__ | Mapping item AerChemMIP.BCC.BCC-ESM1.ssp370.r1i1p1f1.day.tasmin.gn to DataCite
2026-02-14 21:38:25,033 | INFO | __main__ | Mapping item AerChemMIP.BCC.BCC-ESM1.ssp370.r1i1p1f1.day.tasmax.gn to DataCite
2026-02-14 21:38:25,033 | INFO | __main__ | Mapping item AerChemMIP.BCC.BCC-ESM1.ssp370.r1i1p1f1.day.tas.gn to DataCite
2026-02-14 21:38:25,033 | INFO | __main__ | Mapping item AerChemMIP.BCC.BCC-ESM1.ssp370.r1i1p1f1.day.pr.gn to DataCite
2026-02-14 21:38:25,122 | INFO | __main__ | Mapping item CMIP.NUIST.NESM3.historical.r5i1p1f1.day.tasmin.gn to DataCite
2026-02-14 21:38:25,123 | INFO | __main__ | Mapping item CMIP.NUIST.NESM3.historical.r5i1p1f1.day.tasmax.gn to DataCite
2026-02-14 21:38:25,123 | INFO | __main__ | Mapping item CMIP.NUIST.NESM3.historical.r4i1p1f1.day.tasmin.gn to DataCite
2026-02-14 21:38:25,123 | INFO | __main__ | Mapping item CMIP.NUIST.NESM3.historical.r4i1p1f1.day.tasmax.gn to DataCite
2026-02-14 21:38:25,124 | INFO | __main__ | Mapping item CMIP.NUIST.NESM3.historical.r3i1p1f1.day.tasmin.gn to DataCite
2026-02-14 21:38:25,124 | INFO | __main__ | Mapping item CMIP.NUIST.NESM3.historical.r3i1p1f1.day.tasmax.gn to DataCite
2026-02-14 21:38:25,124 | INFO | __main__ | Mapping item CMIP.NUIST.NESM3.historical.r2i1p1f1.day.tasmin.gn to DataCite
2026-02-14 21:38:25,124 | INFO | __main__ | Mapping item CMIP.NUIST.NESM3.historical.r2i1p1f1.day.tasmax.gn to DataCite
2026-02-14 21:38:25,124 | INFO | __main__ | Mapping item CMIP.NOAA-GFDL.GFDL-ESM4.historical.r3i1p1f1.day.tasmin.gr1 to DataCite
2026-02-14 21:38:25,125 | INFO | __main__ | Mapping item CMIP.NOAA-GFDL.GFDL-ESM4.historical.r1i1p1f1.day.thetao.gr to DataCite
2026-02-14 21:38:25,125 | INFO | __main__ | Mapping item CMIP.NOAA-GFDL.GFDL-ESM4.historical.r1i1p1f1.day.thetao.gn to DataCite
2026-02-14 21:38:25,126 | INFO | __main__ | Mapping item CMIP.NOAA-GFDL.GFDL-ESM4.historical.r2i1p1f1.day.tasmin.gr1 to DataCite
2026-02-14 21:38:25,126 | INFO | __main__ | Mapping item CMIP.NOAA-GFDL.GFDL-ESM4.historical.r3i1p1f1.day.tasmax.gr1 to DataCite
2026-02-14 21:38:25,127 | INFO | __main__ | Mapping item CMIP.NOAA-GFDL.GFDL-ESM4.historical.r2i1p1f1.day.tasmax.gr1 to DataCite
2026-02-14 21:38:25,127 | INFO | __main__ | Mapping item CMIP.NOAA-GFDL.GFDL-ESM4.historical.r1i1p1f1.day.ph.gr to DataCite
2026-02-14 21:38:25,128 | INFO | __main__ | Mapping item CMIP.NOAA-GFDL.GFDL-ESM4.historical.r1i1p1f1.day.o2.gr to DataCite
2026-02-14 21:38:25,128 | INFO | __main__ | Mapping item CMIP.NOAA-GFDL.GFDL-ESM4.historical.r1i1p1f1.day.no3.gr to DataCite
2026-02-14 21:38:25,129 | INFO | __main__ | Mapping item CMIP.NOAA-GFDL.GFDL-ESM4.historical.r1i1p1f1.day.fgco2.gr to DataCite
2026-02-14 21:38:25,130 | INFO | __main__ | Mapping item CMIP.NOAA-GFDL.GFDL-ESM4.historical.r1i1p1f1.day.chl.gr to DataCite
2026-02-14 21:38:25,130 | INFO | __main__ | Mapping item CMIP.NIMS-KMA.KACE-1-0-G.historical.r3i1p1f1.day.tasmin.gr to DataCite
2026-02-14 21:38:25,131 | INFO | __main__ | Mapping item CMIP.NIMS-KMA.KACE-1-0-G.historical.r3i1p1f1.day.tasmax.gr to DataCite
2026-02-14 21:38:25,131 | INFO | __main__ | Mapping item CMIP.NIMS-KMA.KACE-1-0-G.historical.r2i1p1f1.day.tasmin.gr to DataCite
2026-02-14 21:38:25,132 | INFO | __main__ | Mapping item CMIP.NIMS-KMA.KACE-1-0-G.historical.r2i1p1f1.day.tasmax.gr to DataCite
2026-02-14 21:38:25,132 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r3i1p1f1.day.thetao.gr to DataCite
2026-02-14 21:38:25,133 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r3i1p1f1.day.thetao.gn to DataCite
2026-02-14 21:38:25,134 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r2i1p1f1.day.thetao.gr to DataCite
2026-02-14 21:38:25,134 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r2i1p1f1.day.thetao.gn to DataCite
2026-02-14 21:38:25,135 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r1i1p1f1.day.thetao.gr to DataCite
2026-02-14 21:38:25,135 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r1i1p1f1.day.thetao.gn to DataCite
2026-02-14 21:38:25,136 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r3i1p1f1.day.ph.gr to DataCite
2026-02-14 21:38:25,137 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r3i1p1f1.day.ph.gn to DataCite
2026-02-14 21:38:25,137 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r2i1p1f1.day.ph.gr to DataCite
2026-02-14 21:38:25,138 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r2i1p1f1.day.ph.gn to DataCite
2026-02-14 21:38:25,139 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r3i1p1f1.day.o2.gr to DataCite
2026-02-14 21:38:25,139 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r3i1p1f1.day.o2.gn to DataCite
2026-02-14 21:38:25,140 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r2i1p1f1.day.o2.gr to DataCite
2026-02-14 21:38:25,140 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r2i1p1f1.day.o2.gn to DataCite
2026-02-14 21:38:25,141 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r1i1p4f1.day.ph.gr to DataCite
2026-02-14 21:38:25,141 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r1i1p4f1.day.ph.gn to DataCite
2026-02-14 21:38:25,141 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r1i1p4f1.day.o2.gr to DataCite
2026-02-14 21:38:25,142 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r1i1p4f1.day.o2.gn to DataCite
2026-02-14 21:38:25,142 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r1i1p1f1.day.ph.gn to DataCite
2026-02-14 21:38:25,143 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r3i1p1f1.day.no3.gr to DataCite
2026-02-14 21:38:25,143 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r3i1p1f1.day.no3.gn to DataCite
2026-02-14 21:38:25,143 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r2i1p1f1.day.no3.gr to DataCite
2026-02-14 21:38:25,144 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r2i1p1f1.day.no3.gn to DataCite
2026-02-14 21:38:25,144 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r1i1p4f1.day.no3.gr to DataCite
2026-02-14 21:38:25,145 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r1i1p4f1.day.no3.gn to DataCite
2026-02-14 21:38:25,145 | INFO | __main__ | Mapping item CMIP.NCC.NorESM2-LM.historical.r1i1p1f1.day.o2.gr to DataCite
